rpc,relation,object_type,deriver,identities,source_proto_file,mode
/gibson.harness.v1.HarnessCallbackService/QueryPlugin,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/QueueToolWork,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/RecordSpan,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/RecordSpans,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ReportStepHints,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/RunMission,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/SearchTools,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/SubmitFinding,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ToolResults,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ValidateFinding,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ValidateGraphNode,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ValidateRelationship,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WaitForMission,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WorkspaceCommit,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WorkspaceGetInfo,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WorkspaceList,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WorkspaceListFiles,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WorkspacePush,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WorkspaceReadFile,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/WorkspaceWriteFile,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.identity.v1.IdentityService/WhoAmI,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/identity/v1/identity.proto,rule
/gibson.plugin.v1.PluginInvokeService/PluginInvoke,can_invoke,plugin,tenant_and_field('PluginName'),COMPONENT,gibson/plugin/v1/invoke.proto,rule
