rpc,relation,object_type,deriver,identities,unauthenticated,source_proto_file
/gibson.daemon.discovery.v1.DiscoveryService/DescribeAgent,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/DescribePlugin,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/DescribeTool,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/ListAgents,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/ListLLMSlots,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/ListPlugins,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/ListReportSurfaces,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/ListTools,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/SuggestMissingCapability,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/ValidateComponent,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.discovery.v1.DiscoveryService/WhoAmI,member,tenant,tenant_from_identity,PLATFORM_OPERATOR,false,gibson/daemon/discovery/v1/discovery.proto
/gibson.daemon.v1.DaemonService/BuildComponent,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/Connect,,,,,true,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/CreateMission,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/CreateMissionDefinition,writer,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/GetAgentStatus,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/GetCapabilityManifest,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/GetComponentLogs,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/GetMissionCheckpoints,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/GetMissionHistory,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/GetMyPermissions,member,tenant,tenant_from_identity,USER,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ListAgents,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ListMissionDefinitions,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ListMissions,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ListMyMemberships,member,tenant,tenant_from_identity,USER,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ListPlugins,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ListTools,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/PauseMission,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/Ping,,,,,true,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/QueryPlugin,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/RenewCapabilityGrant,member,tenant,tenant_from_identity,COMPONENT,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ResumeMission,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/RunMission,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/ShowComponent,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/StartComponent,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/Status,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/StopComponent,admin,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/StopMission,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/Subscribe,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.daemon.v1.DaemonService/WatchManifestInvalidations,member,tenant,tenant_from_identity,USER|SERVICE,false,gibson/daemon/v1/daemon.proto
/gibson.harness.v1.HarnessCallbackService/Authorize,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/CallToolProto,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/CallToolProtoStream,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
